 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.449488282       6.40716267       25.9838009       2.99300003       1.23498297       1.22959352      0.99563598632812500     
  0.469698757       6.66413593       26.3512993       3.02830005       1.06169963       1.04577386      0.98499971628189087     
  0.496405095       7.00634623       26.8544998       3.06769991      0.861884654      0.837757528      0.97200655937194824     
  0.524823070       7.37238121       27.3988991       3.10330009      0.683640659      0.655727208      0.95916938781738281     
  0.554015279       7.77184963       28.0991993       3.11350012      0.523949385      0.496385247      0.94739162921905518     
  0.582639933       8.14803791       28.6765995       3.13669991      0.404959142      0.379009306      0.93591988086700439     
  0.608327329       8.45349979       28.9992008       3.18379998      0.326036036      0.301631987      0.92514920234680176     
  0.633467495       8.75804043       29.3514004       3.22149992      0.259895444      0.237860098      0.91521459817886353     
