 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.448658794       6.39247656       25.9384995       2.99640012       2.02435946       2.00971770      0.99276721477508545     
  0.469838947       6.66524363       26.3491001       3.02929997       1.72306466       1.69184148      0.98187929391860962     
  0.496285915       7.00326681       26.8418007       3.06920004       1.40379000       1.36043954      0.96911901235580444     
  0.524974883       7.37333155       27.3952999       3.10450006       1.11161482       1.06291687      0.95619171857833862     
  0.553915322       7.76660156       28.0725002       3.11719990      0.856862307      0.809385538      0.94459229707717896     
  0.582660019       8.14536572       28.6592007       3.13940001      0.662041724      0.617870629      0.93328046798706055     
  0.608963490       8.46096897       29.0067005       3.18499994      0.530000150      0.488931209      0.92251145839691162     
  0.637653530       8.82381153       29.4948006       3.21490002      0.405286551      0.369528741      0.91177153587341309     
