 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.533418357       7.58311176       28.2154999       3.01340008      0.767417371      0.731897831      0.95371550321578979     
  0.557236075       7.88855743       28.6366997       3.04509997      0.624938726      0.589795530      0.94376540184020996     
  0.585582793       8.24732304       29.1063995       3.08380008      0.486557662      0.453776747      0.93262684345245361     
  0.614446402       8.62293530       29.6452999       3.11059999      0.370029718      0.341199368      0.92208641767501831     
  0.643528104       9.01813698       30.2796993       3.12129998      0.274347693      0.250325561      0.91243910789489746     
  0.672190785       9.38498878       30.7653999       3.14890003      0.205058947      0.185082927      0.90258401632308960     
  0.698391259       9.69260502       31.0545006       3.19330001      0.158160806      0.141313940      0.89348268508911133     
  0.725693583       10.0437384       31.5233002       3.21370006      0.116777644      0.103324898      0.88480031490325928     
