 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.533239782       7.58207321       28.2206993       3.01189995      0.767785728      0.732337475      0.95383054018020630     
  0.557152867       7.88946962       28.6480007       3.04310012      0.624415517      0.589362085      0.94386202096939087     
  0.585698426       8.25202847       29.1284008       3.08100009      0.484861195      0.452221155      0.93268167972564697     
  0.614359319       8.62482643       29.6618004       3.10789990      0.369531184      0.340781480      0.92219954729080200     
  0.643525898       9.02209091       30.3029003       3.11800003      0.273595244      0.249667630      0.91254377365112305     
  0.672369838       9.38647938       30.7639008       3.14969993      0.204787746      0.184822559      0.90250790119171143     
  0.698934615       9.69935894       31.0625992       3.19390011      0.157252222      0.140472025      0.89329117536544800     
  0.727106214       10.0542850       31.5070992       3.22029996      0.115470476      0.102099344      0.88420301675796509     
