 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.448602080       6.39436197       25.9564991       2.99320006       2.02008414       2.00579333      0.99292564392089844     
  0.469665498       6.66516256       26.3609009       3.02659988       1.72192490       1.69103694      0.98206198215484619     
  0.496228188       7.00478029       26.8558998       3.06669998       1.40165031       1.35853422      0.96923905611038208     
  0.524781287       7.37317276       27.4067001       3.10190010       1.11123013       1.06273329      0.95635753870010376     
  0.554118276       7.77277470       28.0986004       3.11400008      0.852962434      0.805732429      0.94462829828262329     
  0.582589328       8.14831352       28.6812992       3.13579988      0.660525143      0.616550565      0.93342483043670654     
  0.609370112       8.46627522       29.0146008       3.18530011      0.527970612      0.486980885      0.92236363887786865     
  0.635808110       8.79242897       29.4181995       3.21980000      0.414829135      0.378420234      0.91223156452178955     
