 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.533534527       7.58676481       28.2320004       3.01139998      0.584395051      0.560419679      0.95897400379180908     
  0.557061255       7.89110041       28.6644993       3.04029989      0.479067981      0.454549283      0.94881999492645264     
  0.585779846       8.25482464       29.1406994       3.07949996      0.374451727      0.350756913      0.93672132492065430     
  0.614532650       8.62968159       29.6805992       3.10579991      0.286876380      0.265495032      0.92546844482421875     
  0.643737137       9.02517319       30.3087006       3.11789989      0.213920668      0.195739836      0.91501134634017944     
  0.672293544       9.38730717       30.7728004       3.14820004      0.161166847      0.145751670      0.90435266494750977     
  0.697923422       9.69226742       31.0774002       3.18860006      0.125032246      0.111865751      0.89469522237777710     
  0.726842284       10.0735493       31.6228008       3.20350003       9.02186483E-02   7.98292235E-02  0.88484174013137817     
