 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.449018717       6.39827919       25.9540005       2.99559999       1.24277413       1.23749149      0.99574929475784302     
  0.469750673       6.66363811       26.3441010       3.02970004       1.06242132       1.04640210      0.98492199182510376     
  0.496374935       7.00433683       26.8430004       3.06940007      0.863321841      0.839111686      0.97195696830749512     
  0.524755478       7.36926508       27.3831005       3.10549998      0.685306728      0.657290161      0.95911818742752075     
  0.554032803       7.76939297       28.0827007       3.11610007      0.524986386      0.497317284      0.94729560613632202     
  0.582359910       8.14280891       28.6616001       3.13790011      0.406477749      0.380455375      0.93598079681396484     
  0.608482957       8.45235157       28.9836998       3.18670011      0.326309055      0.301817864      0.92494481801986694     
  0.637556911       8.80333233       29.3850994       3.23090005      0.250975937      0.229275793      0.91353696584701538     
