 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.448894411       6.39566469       25.9442005       2.99659991       1.66697657       1.64798939      0.98860979080200195     
  0.469487995       6.66035271       26.3397007       3.02920008       1.41761279       1.38698339      0.97839367389678955     
  0.496315569       7.00294018       26.8376007       3.06999993       1.14290679       1.10395336      0.96591722965240479     
  0.524936616       7.37230110       27.3910999       3.10500002      0.897633135      0.855932653      0.95354396104812622     
  0.553793311       7.76541138       28.0725994       3.11669993      0.685797215      0.646381617      0.94252586364746094     
  0.582561016       8.14256096       28.6480999       3.14070010      0.525854409      0.489937365      0.93169772624969482     
  0.609056473       8.46214676       29.0083008       3.18510008      0.416383356      0.383676678      0.92145055532455444     
  0.636915743       8.80475712       29.4276009       3.22230005      0.320516914      0.292101860      0.91134613752365112     
