 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.532969415       7.57852888       28.2154007       3.01160002      0.956125200      0.914550602      0.95651763677597046     
  0.557286024       7.89177513       28.6541996       3.04270005      0.780314803      0.738141060      0.94595289230346680     
  0.585518777       8.24916840       29.1217995       3.08130002      0.613501847      0.573189557      0.93429148197174072     
  0.614313424       8.62372017       29.6578999       3.10829997      0.471083283      0.434890479      0.92317110300064087     
  0.643541336       9.02291107       30.3068008       3.11750007      0.351222485      0.320637196      0.91291761398315430     
  0.671896994       9.38277817       30.7691994       3.14739990      0.265870303      0.239943162      0.90248197317123413     
  0.698932290       9.70522881       31.0946999       3.18939996      0.203928664      0.182033420      0.89263284206390381     
  0.721444011       9.98099804       31.4076004       3.21659994      0.160980076      0.142425984      0.88474291563034058     
