 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.596703410       8.49822807       29.9773006       2.99959993      0.405095011      0.377422363      0.93168848752975464     
  0.618160725       8.77400970       30.3386002       3.02530003      0.331432253      0.306131452      0.92366224527359009     
  0.645888567       9.12805939       30.7901001       3.05789995      0.253556639      0.231673479      0.91369515657424927     
  0.675114214       9.49814510       31.2467003       3.09179997      0.189099267      0.170841292      0.90344768762588501     
  0.703980505       9.87533188       31.7619991       3.11369991      0.138521299      0.123861961      0.89417266845703125     
  0.733326197       10.2656584       32.3180008       3.12919998       9.90667045E-02   8.76770690E-02  0.88503062725067139     
  0.761816382       10.6157370       32.6971016       3.16330004       7.17692822E-02   6.28626794E-02  0.87589949369430542     
  0.788021088       10.9267712       32.9905014       3.19989991       5.29838987E-02   4.59445938E-02  0.86714255809783936     
  0.819675624       11.3118591       33.3961983       3.23490000       3.58860791E-02   3.07376739E-02  0.85653477907180786     
