 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.533480346       7.58359194       28.2145004       3.01379991      0.585851133      0.561776638      0.95890682935714722     
  0.557105660       7.88660622       28.6326008       3.04520011      0.480810702      0.456110865      0.94862878322601318     
  0.585704386       8.25068474       29.1196995       3.08229995      0.375602752      0.351810604      0.93665611743927002     
  0.614414275       8.62375259       29.6520996       3.10949993      0.288111597      0.266615331      0.92538911104202271     
  0.643407106       9.01692390       30.2796001       3.12089992      0.215211183      0.196923643      0.91502511501312256     
  0.672143757       9.38332367       30.7586002       3.14969993      0.161637977      0.146178395      0.90435671806335449     
  0.698198557       9.69176483       31.0601006       3.19190001      0.124988407      0.111803584      0.89451164007186890     
  0.722949028       10.0077887       31.4729004       3.21219993       9.52258110E-02   8.43525007E-02  0.88581550121307373     
