 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.448960185       6.39870834       25.9615002       2.99410009       1.66257656       1.64375806      0.98868113756179810     
  0.469574451       6.66387033       26.3582993       3.02659988       1.41347599       1.38302600      0.97845739126205444     
  0.496287167       7.00551987       26.8568993       3.06680012       1.14021659       1.10150468      0.96604865789413452     
  0.524673462       7.37077141       27.3980999       3.10279989      0.898265839      0.856740534      0.95377171039581299     
  0.553982019       7.76930475       28.0853004       3.11549997      0.683853984      0.644532561      0.94250029325485229     
  0.582348406       8.14417934       28.6706009       3.13649988      0.525148630      0.489421844      0.93196821212768555     
  0.609121799       8.46739769       29.0352001       3.18129992      0.414789706      0.382248968      0.92154884338378906     
  0.636302292       8.81156063       29.4992008       3.20950007      0.319187731      0.291077077      0.91193068027496338     
