 x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.597356498       8.50842571       29.9997997       2.99880004      0.509612858      0.475414574      0.93289357423782349     
  0.618597507       8.78392410       30.3726006       3.02209997      0.419647723      0.387992442      0.92456698417663574     
  0.646193624       9.13491726       30.8127995       3.05579996      0.324276447      0.296393842      0.91401594877243042     
  0.675193548       9.50090790       31.2581005       3.09050012      0.244391501      0.220732883      0.90319377183914185     
  0.704219282       9.88079548       31.7793999       3.11209989      0.179762959      0.160581768      0.89329731464385986     
  0.733386517       10.2714577       32.3465004       3.12560010      0.129231632      0.114206269      0.88373309373855591     
  0.762106299       10.6207781       32.7088013       3.16260004       9.38849449E-02   8.20505619E-02  0.87394803762435913     
  0.789053977       10.9427214       33.0210991       3.19880009       6.87125325E-02   5.94104603E-02  0.86462336778640747     
