0.558  7.812  0.10703  0.054428  0.078744  0.068413  0.085652  4.92796e-80  4.28143e-80  5.36028e-80
0.5665  7.931  0.10194  0.051433  0.074756  0.064812  0.081355  4.54066e-80  3.93667e-80  4.94148e-80
0.575  8.05  0.096978  0.048545  0.07089  0.061333  0.077188  4.18097e-80  3.61731e-80  4.55241e-80
0.5835  8.169  0.092147  0.045762  0.067147  0.057976  0.073153  3.84704e-80  3.32161e-80  4.19114e-80
0.592  8.288  0.087449  0.043086  0.063528  0.054741  0.069249  3.53719e-80  3.04793e-80  3.85573e-80
0.6005  8.407  0.082884  0.040514  0.060031  0.051626  0.065475  3.24968e-80  2.79469e-80  3.54438e-80
0.609  8.526  0.078454  0.038048  0.056657  0.048632  0.061834  2.98307e-80  2.56054e-80  3.25565e-80
0.6175  8.645  0.074161  0.035686  0.053406  0.045757  0.058324  2.73599e-80  2.34414e-80  2.98794e-80
0.626  8.764  0.070004  0.033428  0.050279  0.043001  0.054945  2.50721e-80  2.14429e-80  2.73989e-80
0.6345  8.883  0.065987  0.031271  0.047272  0.040361  0.051696  2.29535e-80  1.95977e-80  2.51016e-80
0.643  9.002  0.062107  0.029214  0.044387  0.037836  0.048575  2.0994e-80  1.78955e-80  2.29748e-80
0.6515  9.121  0.058366  0.027255  0.04162  0.035423  0.045583  1.91818e-80  1.63257e-80  2.10082e-80
0.66  9.24  0.054763  0.025393  0.038971  0.033122  0.042716  1.75075e-80  1.48798e-80  1.91899e-80
0.6685  9.359  0.051297  0.023624  0.036438  0.030929  0.039973  1.59615e-80  1.35483e-80  1.751e-80
0.677  9.478  0.047967  0.021947  0.034019  0.028842  0.037352  1.45352e-80  1.23232e-80  1.59593e-80
0.6855  9.597  0.044772  0.020358  0.031711  0.026858  0.034851  1.32198e-80  1.11967e-80  1.45288e-80
0.694  9.716  0.041712  0.018855  0.029513  0.024974  0.032468  1.20082e-80  1.01614e-80  1.32106e-80
0.7025  9.835  0.038784  0.017435  0.027421  0.023189  0.030199  1.08925e-80  9.21144e-81  1.1996e-80
0.711  9.954  0.035986  0.016095  0.025434  0.021498  0.028043  9.8666e-81  8.33971e-81  1.08787e-80
0.7195  10.073  0.033318  0.014832  0.023549  0.0199  0.025998  8.92393e-81  7.54114e-81  9.85199e-81
0.728  10.192  0.030778  0.013644  0.021763  0.01839  0.024059  8.05851e-81  6.80954e-81  8.90869e-81
0.7365  10.311  0.028363  0.012526  0.020074  0.016967  0.022224  7.26509e-81  6.14062e-81  8.04321e-81
0.745  10.43  0.02607  0.011477  0.018478  0.015627  0.020492  6.53805e-81  5.52928e-81  7.25066e-81
0.7535  10.549  0.023899  0.010494  0.016974  0.014367  0.018857  5.87323e-81  4.97117e-81  6.52477e-81
0.762  10.668  0.021847  0.0095723  0.015557  0.013184  0.017318  5.26536e-81  4.46221e-81  5.86139e-81
0.7705  10.787  0.01991  0.0087105  0.014226  0.012075  0.015872  4.71089e-81  3.9986e-81  5.25596e-81
0.779  10.906  0.018087  0.0079055  0.012977  0.011038  0.014515  4.20551e-81  3.57713e-81  4.70393e-81
0.7875  11.025  0.016375  0.0071547  0.011808  0.010068  0.013245  3.74582e-81  3.19385e-81  4.20168e-81
0.796  11.144  0.014771  0.0064555  0.010716  0.0091646  0.012058  3.32837e-81  2.84651e-81  3.74519e-81
0.8045  11.263  0.013273  0.0058053  0.0096978  0.0083235  0.010951  2.94985e-81  2.53182e-81  3.33104e-81
0.813  11.382  0.011877  0.0052018  0.0087507  0.0075422  0.0099207  2.60731e-81  2.24723e-81  2.95592e-81
0.8215  11.501  0.01058  0.0046428  0.0078718  0.0068179  0.0089645  2.29796e-81  1.9903e-81  2.61695e-81
0.83  11.62  0.0093805  0.004126  0.0070585  0.0061479  0.0080791  2.01926e-81  1.75876e-81  2.31123e-81
0.8385  11.739  0.0082745  0.0036496  0.0063079  0.0055295  0.0072612  1.76876e-81  1.55049e-81  2.03607e-81
0.847  11.858  0.0072593  0.0032115  0.0056171  0.0049601  0.0065076  1.54414e-81  1.36353e-81  1.78894e-81
0.8555  11.977  0.0063307  0.0028097  0.0049831  0.004437  0.0058149  1.34324e-81  1.19604e-81  1.56746e-81
0.864  12.096  0.0054848  0.0024424  0.0044035  0.0039577  0.0051804  1.16418e-81  1.04632e-81  1.36957e-81
0.8725  12.215  0.0047173  0.0021078  0.0038755  0.00352  0.0046008  1.00507e-81  9.12877e-82  1.19317e-81
0.881  12.334  0.0040252  0.0018043  0.0033962  0.0031214  0.0040732  8.64161e-82  7.94238e-82  1.03642e-81
0.8895  12.453  0.0034064  0.0015308  0.0029631  0.0027594  0.0035944  7.39878e-82  6.89014e-82  8.97512e-82
0.898  12.572  0.0028584  0.001286  0.0025734  0.0024317  0.0031614  6.30685e-82  5.95957e-82  7.74791e-82
0.9065  12.691  0.0023773  0.0010685  0.0022241  0.0021361  0.0027711  5.35093e-82  5.13921e-82  6.66695e-82
0.915  12.81  0.0019586  0.00087656  0.0019126  0.0018704  0.0024207  4.51798e-82  4.4183e-82  5.71823e-82
0.9235  12.929  0.0015957  0.00070831  0.0016361  0.0016324  0.0021072  3.79534e-82  3.78676e-82  4.88818e-82
0.932  13.048  0.0012829  0.00056196  0.0013918  0.00142  0.0018278  3.17112e-82  3.23537e-82  4.16451e-82
0.9405  13.167  0.0010155  0.00043601  0.0011771  0.0012312  0.0015799  2.6346e-82  2.75569e-82  3.53616e-82
0.949  13.286  0.00078927  0.00032916  0.00098954  0.0010642  0.0013609  2.17607e-82  2.34025e-82  2.99271e-82
0.9575  13.405  0.0006006  0.00024021  0.00082678  0.00091694  0.0011682  1.78664e-82  1.98147e-82  2.52443e-82
0.966  13.524  0.00044595  0.00016803  0.00068657  0.00078777  0.00099952  1.45816e-82  1.6731e-82  2.12282e-82
0.9745  13.643  0.00032176  0.00011151  0.00056695  0.00067497  0.00085254  1.18361e-82  1.40912e-82  1.77983e-82
0.983  13.762  0.00022434  6.9485e-05  0.00046609  0.00057688  0.00072514  9.56626e-83  1.18402e-82  1.48831e-82
0.9915  13.881  0.00014995  4.0761e-05  0.00038201  0.00049196  0.0006152  7.7094e-83  9.92832e-83  1.24154e-82
1  14  9.4869e-05  2.3873e-05  0.00031275  0.00041879  0.00052083  6.20698e-83  8.3115e-83  1.03366e-82
1  14  9.4869e-05  2.3873e-05  0.00031275  0.00041879  0.00052083  6.20698e-83  8.3115e-83  1.03366e-82
